"","club.name","field.name","field.address"
"211","Maryland Rush Montgomery","Maryland SoccerPlex #12","18031 Central Park Circle, Boyds, MD 20841"
"212","Maryland Rush Montgomery","Maryland SoccerPlex #13","18031 Central Park Circle, Boyds, MD 20841"
"213","Maryland Rush Montgomery","Maryland SoccerPlex #13b","18031 Central Park Circle, Boyds, MD 20841"
"214","Maryland Rush Montgomery","Maryland SoccerPlex #14","18031 Central Park Circle, Boyds, MD 20841"
"215","Maryland Rush Montgomery","Maryland SoccerPlex #15","18031 Central Park Circle, Boyds, MD 20841"
"216","Maryland Rush Montgomery","Maryland SoccerPlex #16","18031 Central Park Circle, Boyds, MD 20841"
"217","Maryland Rush Montgomery","Maryland SoccerPlex #17","18031 Central Park Circle, Boyds, MD 20841"
"218","Maryland Rush Montgomery","Maryland SoccerPlex #19a","18031 Central Park Circle, Boyds, MD 20841"
"219","Maryland Rush Montgomery","Maryland SoccerPlex #2","18031 Central Park Circle, Boyds, MD 20841"
"220","Maryland Rush Montgomery","Maryland SoccerPlex #20a","18031 Central Park Circle, Boyds, MD 20841"
"221","Maryland Rush Montgomery","Maryland SoccerPlex #22","18031 Central Park Circle, Boyds, MD 20841"
"222","Maryland Rush Montgomery","Maryland SoccerPlex #3","18031 Central Park Circle, Boyds, MD 20841"
"223","Maryland Rush Montgomery","Maryland SoccerPlex #4","18031 Central Park Circle, Boyds, MD 20841"
"224","Maryland Rush Montgomery","Maryland SoccerPlex #5","18031 Central Park Circle, Boyds, MD 20841"
"225","Maryland Rush Montgomery","Maryland SoccerPlex #6","18031 Central Park Circle, Boyds, MD 20841"
"226","Maryland Rush Montgomery","Maryland SoccerPlex #6a","18031 Central Park Circle, Boyds, MD 20841"
"227","Maryland Rush Montgomery","Maryland SoccerPlex #7a","18031 Central Park Circle, Boyds, MD 20841"
